bus_time,1_arrival_count,1_depart_count,1_stop_time,1_to_2,2_arrival_count,2_depart_count,2_stop_time,2_to_3,3_arrival_count,3_depart_count,3_stop_time,3_to_4,4_arrival_count,4_depart_count,4_stop_time,4_to_5,5_arrival_count,5_depart_count,5_stop_time,5_to_6,6_arrival_count,6_depart_count,6_stop_time,6_to_7,7_arrival_count,7_depart_count,7_stop_time,7_to_8,8_arrival_count,8_depart_count,8_stop_time,8_to_9,9_arrival_count,9_depart_count,9_stop_time,9_to_1,last_depart_count
1130i,0,0,0,55.26,1,0,7.07,124.01,8,0,21.47,163.78,6,0,14.88,86.33,1,5,19.11,109.62,3,4,29.67,259.35,0,2,10.78,26.34,2,0,21.65,15.32,1,7,11.7,78.78,4
1140i,6,0,0,59.91,6,2,31.08,108.68,10,0,23.59,123.25,19,6,59.76,175.98,5,16,45.82,85.86,10,7,44.07,204.95,0,0,0.35,58.12,0,9,29.65,16.48,0,11,18.68,81.81,5
1150i,6,0,0,66.61,8,3,31.33,79.26,12,4,35.69,108.66,19,17,60.11,132.49,1,13,43.16,86.13,4,7,34.41,220.32,0,2,7.02,40.32,0,2,22.31,18.43,0,2,14.32,76.02,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240i,0,0,0,50.77,2,0,6.37,126.41,5,0,12.96,124.47,8,0,19.24,115.5,1,5,33.84,80.81,4,4,21.24,235.61,0,2,7.57,49.83,0,2,12.16,21.82,2,4,17.51,72.97,5
1300i,7,0,0,60.1,3,1,11.98,127.97,9,5,30.24,113.23,6,3,25.32,150.34,1,4,19.32,90.32,2,6,24.32,220.11,0,0,0,53.32,0,2,7.32,30.12,0,4,15.32,80.32,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130i,5,0,0,58.43,0,1,6.03,110.44,4,1,15.23,130.42,5,1,15.32,103.24,4,2,21.42,97.32,5,2,32.41,264.32,1,0,2.31,34.31,0,2,21.25,15.41,0,8,20.13,120.31,7
1150i,7,0,0,53.83,14,3,51.93,97.97,14,0,39.9,176.8,15,11,63.38,182.07,2,13,30.45,73.27,5,8,40.31,230.32,1,2,4.32,40.32,0,3,18.32,17.81,0,6,17.32,93.21,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240i,1,0,0,68.65,4,0,11.23,118.46,2,0,8.8,81.96,6,4,27.07,167.75,0,2,8.46,117.22,2,1,12.73,240.12,1,1,7.84,49.94,0,0,3.11,26.42,1,7,16.91,78.02,2
1250i,5,0,0,45.61,3,0,15.28,117.46,0,1,7.75,148.01,5,1,21.29,205.28,1,6,14.36,104.77,4,4,22.19,202.88,0,1,6,50.88,0,0,2.26,21.03,1,1,7.68,75.97,5
1300i,4,0,0,70.96,3,0,13.51,127.84,3,0,8.79,121.42,4,1,18.92,193.42,2,4,15.03,99.32,2,5,22.12,203.42,0,0,0,53.21,0,3,10.42,24.32,1,2,12.21,80.21,1
1310i,11,0,0,52.69,6,5,35.67,100.66,4,1,24.7,206.37,9,3,34.18,173.48,0,9,21.76,107.58,5,4,31.12,222.56,0,0,0.53,60.57,0,5,16.32,27.15,0,5,14.79,83.24,3
1330i,3,0,0,47.04,1,1,11.35,83.33,3,2,12.85,128.73,6,0,21.46,188.52,0,3,15.54,68.11,2,2,13.6,237.28,0,1,4.58,50.25,0,2,7.69,24.91,0,4,15.27,73.63,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330i,6,0,0,46.81,3,6,21.48,79.06,0,0,0.35,125.29,5,0,13.31,201,3,1,13.79,121.11,0,1,9.14,219.12,0,0,0.35,43.77,0,3,9.24,23.23,0,4,15.44,76.29,2
1340i,9,0,0,78.51,0,1,10.93,98.97,4,4,20.44,123.43,3,3,19.79,175.49,0,4,11.48,114.11,4,2,21.11,234.77,0,0,0,41.85,0,2,6.29,32.02,0,1,9.4,87.76,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
